stationId,locationName,lat,lon,obstime,ELEV,RAIN,MIN_10,HOUR_3,HOUR_6,HOUR_12,HOUR_24,NOW,WDIR,WDSD,TEMP,HUMD,PRES,H_24R,H_FX,H_XD,H_FXT,D_TX,D_TXT,D_TN,D_TNT,CITY,CITY_SN,TOWN,TOWN_SN,reportTime
C0UA70,桃源谷,24.964408,121.880658,2020-07-27 14:00:00,547.0,,,,,,,,87,1.3,27.7,0.99,948.5,0.0,-99,-99,-99,32.80,2020-07-27T12:20:00+08:00,23.40,2020-07-27T05:00:00+08:00,宜蘭縣,07,頭城鎮,051,2020-07-27 14:41:03
C0G740,大城,23.854225,120.312789,2020-07-27 14:00:00,24.0,,,,,,,,272,3.7,32.9,0.64,1004.0,0.0,-99,-99,-99,33.70,2020-07-27T13:40:00+08:00,26.40,2020-07-27T06:10:00+08:00,彰化縣,14,大城鄉,169,2020-07-27 14:41:03
C0F9N0,大里,24.094389,120.692194,2020-07-27 14:00:00,75.0,,,,,,,,274,3.1,33.8,0.6,997.9,0.0,-99,-99,-99,35.10,2020-07-27T12:40:00+08:00,26.50,2020-07-27T04:50:00+08:00,臺中市,02,大里區,141,2020-07-27 14:41:03
C0F9T0,西屯,24.182028,120.632861,2020-07-27 14:00:00,111.0,,,,,,,,271,2.4,33.0,0.63,994.2,0.0,-99,-99,-99,33.70,2020-07-27T12:00:00+08:00,26.70,2020-07-27T06:00:00+08:00,臺中市,02,西屯區,125,2020-07-27 14:41:03
C0S710,鹿野,22.919517,121.114908,2020-07-27 14:00:00,382.0,,,,,,,,180,1.4,32.2,0.64,965.9,0.0,-99,-99,-99,32.20,2020-07-27T14:00:00+08:00,23.30,2020-07-27T06:40:00+08:00,臺東縣,22,鹿野鄉,274,2020-07-27 14:41:03
C0M680,太保,23.456792,120.323303,2020-07-27 14:00:00,37.0,,,,,,,,266,2.1,33.4,0.62,1004.0,0.0,-99,-99,-99,34.00,2020-07-27T13:30:00+08:00,26.50,2020-07-27T05:40:00+08:00,嘉義縣,17,太保市,218,2020-07-27 14:41:03
C0X220,學甲,23.232100,120.174072,2020-07-27 14:00:00,26.0,,,,,,,,259,3.3,31.2,0.68,1003.8,0.0,-99,-99,-99,32.50,2020-07-27T09:50:00+08:00,26.40,2020-07-27T04:40:00+08:00,臺南市,04,學甲區,239,2020-07-27 14:41:03
C0R560,新園,22.545194,120.453500,2020-07-27 14:00:00,22.0,,,,,,,,186,2.0,32.6,0.7,1005.2,0.0,-99,-99,-99,33.00,2020-07-27T10:10:00+08:00,26.50,2020-07-27T03:10:00+08:00,屏東縣,20,新園鄉,333,2020-07-27 14:41:03
C0F9P0,清水,24.314028,120.554083,2020-07-27 14:00:00,26.0,,,,,,,,285,4.1,32.2,0.75,1004.3,0.0,10.8,267,2020-07-27T13:23:00+08:00,33.70,2020-07-27T11:00:00+08:00,28.40,2020-07-27T06:00:00+08:00,臺中市,02,清水區,112,2020-07-27 14:41:03
C0O970,虎頭埤,23.023139,120.339806,2020-07-27 14:00:00,71.0,,,,,,,,242,2.6,34.0,0.62,999.7,0.0,-99,-99,-99,34.90,2020-07-27T13:50:00+08:00,24.80,2020-07-27T05:30:00+08:00,臺南市,04,新化區,267,2020-07-27 14:41:03
C0F0B0,石岡,24.277822,120.769478,2020-07-27 14:00:00,311.0,,,,,,,,292,3.1,30.3,0.75,972.4,0.0,-99,-99,-99,32.40,2020-07-27T12:20:00+08:00,22.80,2020-07-27T05:10:00+08:00,臺中市,02,石岡區,116,2020-07-27 14:41:03
C0R700,枋山,22.248639,120.653058,2020-07-27 14:00:00,19.0,,,,,,,,222,1.7,31.1,0.71,1005.7,0.0,-99,-99,-99,31.90,2020-07-27T13:10:00+08:00,25.90,2020-07-27T05:30:00+08:00,屏東縣,20,枋山鄉,346,2020-07-27 14:41:03
C0R780,滿州,22.026208,120.831875,2020-07-27 14:00:00,72.0,,,,,,,,234,3.8,31.9,0.65,1001.3,0.0,-99,-99,-99,32.50,2020-07-27T13:30:00+08:00,25.40,2020-07-27T05:50:00+08:00,屏東縣,20,滿州鄉,348,2020-07-27 14:41:03
C0R620,墾雷,21.902650,120.847244,2020-07-27 14:00:00,34.0,,,,,,,,263,2.7,31.4,0.73,1004.8,0.0,-99,-99,-99,33.10,2020-07-27T10:10:00+08:00,28.70,2020-07-27T05:10:00+08:00,屏東縣,20,恆春鎮,350,2020-07-27 14:41:03
C0C660,楊梅,24.914139,121.134833,2020-07-27 14:00:00,176.0,,,,,,,,279,1.9,31.9,0.67,987.5,0.0,8.3,297,2020-07-27T13:45:00+08:00,33.70,2020-07-27T10:30:00+08:00,26.30,2020-07-27T05:40:00+08:00,桃園市,08,楊梅區,056,2020-07-27 14:41:03
C0SA10,檳榔四格山,22.811789,121.101247,2020-07-27 14:00:00,411.0,,,,,,,,168,0.9,29.8,0.74,962.4,0.0,-99,-99,-99,31.00,2020-07-27T09:40:00+08:00,23.90,2020-07-27T00:10:00+08:00,臺東縣,22,卑南鄉,289,2020-07-27 14:41:03
C0M740,六腳,23.494611,120.282500,2020-07-27 14:00:00,15.0,,,,,,,,257,4.3,32.4,0.63,1004.3,0.0,-99,-99,-99,33.40,2020-07-27T10:40:00+08:00,26.50,2020-07-27T03:40:00+08:00,嘉義縣,17,六腳鄉,214,2020-07-27 14:41:03
C0K460,斗南,23.680478,120.470231,2020-07-27 14:00:00,60.0,,,,,,,,269,5.1,33.7,0.57,998.7,0.0,-99,-99,-99,34.20,2020-07-27T12:40:00+08:00,26.40,2020-07-27T05:40:00+08:00,雲林縣,16,斗南鎮,193,2020-07-27 14:41:03
C0X100,臺南市北區,23.012167,120.186333,2020-07-27 14:00:00,10.0,,,,,,,,251,3.3,32.8,0.55,1004.1,0.0,-99,-99,-99,33.50,2020-07-27T12:40:00+08:00,28.50,2020-07-27T05:30:00+08:00,臺南市,04,北區,357,2020-07-27 14:41:03
C0R150,三地門,22.711667,120.631889,2020-07-27 14:00:00,105.0,,,,,,,,213,1.8,32.9,0.59,994.3,0.0,-99,-99,-99,35.40,2020-07-27T11:20:00+08:00,25.50,2020-07-27T05:40:00+08:00,屏東縣,20,內埔鄉,310,2020-07-27 14:41:03
C0S690,太麻里,22.610825,120.977275,2020-07-27 14:00:00,522.0,,,,,,,,197,1.2,30.6,0.74,949.6,0.0,-99,-99,-99,33.50,2020-07-27T12:30:00+08:00,25.00,2020-07-27T05:40:00+08:00,臺東縣,22,太麻里鄉,312,2020-07-27 14:41:03
C0U870,大礁溪,24.792836,121.666839,2020-07-27 14:00:00,474.0,,,,,,,,43,0.5,26.3,0.87,956.3,2.0,-99,-99,-99,30.70,2020-07-27T11:30:00+08:00,23.90,2020-07-27T04:20:00+08:00,宜蘭縣,07,礁溪鄉,065,2020-07-27 14:41:03
C0A520,山佳,24.976719,121.393789,2020-07-27 14:00:00,48.0,,,,,,,,10,1.9,30.0,0.82,1001.8,18.0,-99,-99,-99,34.80,2020-07-27T12:20:00+08:00,25.70,2020-07-27T05:40:00+08:00,新北市,06,樹林區,046,2020-07-27 14:41:03
